country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ESP,Spain,Almodóvar del Río E,WKS0060157,9.6,37.8380,-4.9720,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,18.37,18.18,18.03,18.30,19.24,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Almodóvar del Río W,WKS0060167,9.6,37.8370,-4.9800,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,18.37,18.18,18.03,18.30,19.24,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Almonacid,WKS0060307,5.6,41.4180,-1.2969,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,9.28,9.70,10.10,10.06,10.17,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Alvarado,WKS0060293,5.7,38.8081,-6.8254,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.39,11.12,11.30,11.22,11.41,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arbante,WKS0060182,8.8,42.4950,-2.3100,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,13.89,14.50,14.59,14.70,14.54,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Archidona,WKS0060222,7.3,37.0900,-4.4330,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.41,15.15,15.46,14.99,15.45,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arcosol CSP,WKS0071015,49.9,36.6630,-5.8280,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,133.28,130.87,120.63,123.45,129.19,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arenales,WKS0071016,50.0,37.1220,-5.5670,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,118.29,117.86,114.34,117.54,118.04,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arguedas III,WKS0060227,7.1,42.1859,-1.6073,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.64,12.13,11.77,11.81,12.48,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arico,WKS0069759,6.6,28.1580,-16.4644,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.25,15.35,15.30,15.42,15.25,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Arnedo,WKS0060022,30.0,42.2770,-2.0440,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,50.23,52.25,52.60,53.12,52.41,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Aste 1B,WKS0070985,50.0,39.1720,-3.2770,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,100.91,103.33,106.58,103.65,107.05,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Ataquines A,WKS0069237,4.0,41.1980,-4.8322,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,6.48,6.33,6.48,6.17,6.54,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Atzeneta,WKS0060297,5.7,40.2140,-0.1853,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,12.74,11.21,11.39,11.27,12.33,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,Azonilla,WKS0065994,8.0,38.7462,-5.5308,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.97,15.69,15.70,15.75,15.88,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,BAHIA DE ALGECIRAS I,WRI1006223,731.0,36.1829,-5.3905,Gas,,,,1970.0,VIESGO GENERACION  S.L.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1012767,,,,2103.497,2415.509,3373.713,,,JRC-PPDB-OPEN,,,,,1732.71,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,BARAZAR 1,WRI1006226,82.7,43.1000,-2.7500,Hydro,,,,1957.0,IBERDROLA GENERACION  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1019084,,,,,,,,,,274.01,274.01,184.76,274.76,175.15,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ESP,Spain,BARCENA GR 1,WRI1006228,61.15,43.1258,-4.0566,Hydro,,,,1959.0,ENDESA GENERACION S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,,,,,,185.20,163.90,75.48,164.35,59.60,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ESP,Spain,BARRADOS,WRI1006229,15.88,42.7333,0.7167,Hydro,,,,1956.0,ENDESA GENERACION S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1029322,,,,,,,,,,56.11,56.12,31.41,55.67,32.12,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ESP,Spain,BARRANCO DE TIRAJANA 7  VAPOR 3 (CC1),WRI1006230,646.26,27.8045,-15.4387,Oil,Gas,,,2008.0,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,1032398,,,,,,,,,,,,,,1346.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
